Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	12:47 1/0/2022	81
Tom	12:47 1/0/2022	136
Lana	12:47 1/0/2022	143
vish	12:47 1/0/2022	120
Mike	17:32 1/2/2022	160
Jim	17:32 1/2/2022	106
vish_demo	17:32 1/2/2022	136
Mike	14:2 1/3/2022	102
Mike	9:36 1/4/2022	144
Lana	9:36 1/4/2022	133
vish	9:36 1/4/2022	117
TomH	9:36 1/4/2022	126
Tom	9:54 1/4/2022	183
TomH	9:54 1/4/2022	164
Lana	9:54 1/4/2022	154
TomH	9:54 1/4/2022	153
Jim	9:59 1/4/2022	153
Mike	10:13 1/4/2022	129
Tom	10:13 1/4/2022	105
TomH	10:13 1/4/2022	130
Jim	10:14 1/4/2022	111
