Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	12:47 1/0/2022	81
Tom	12:47 1/0/2022	136
Lana	12:47 1/0/2022	143
vish	12:47 1/0/2022	120
Mike	17:32 1/2/2022	160
Jim	17:32 1/2/2022	106
vish_demo	17:32 1/2/2022	136
Mike	14:2 1/3/2022	102
Mike	9:36 1/4/2022	144
Lana	9:36 1/4/2022	133
vish	9:36 1/4/2022	117
TomH	9:36 1/4/2022	126
Tom	9:54 1/4/2022	183
TomH	9:54 1/4/2022	164
Lana	9:54 1/4/2022	154
TomH	9:54 1/4/2022	153
Jim	9:59 1/4/2022	153
Mike	10:13 1/4/2022	129
Tom	10:13 1/4/2022	105
TomH	10:13 1/4/2022	130
Jim	10:14 1/4/2022	111
Mike	12:22 1/4/2022	128
Tom	12:22 1/4/2022	121
vish_demo	12:22 1/4/2022	141
Lana	12:22 1/4/2022	122
Mike	12:34 1/4/2022	113
Jim	12:34 1/4/2022	150
TomH	12:35 1/4/2022	108
Lana	12:35 1/4/2022	135
Jim	9:32 1/5/2022	157
Lana	9:32 1/5/2022	142
Lana	9:32 1/5/2022	157
vish	9:32 1/5/2022	124
Jim	9:47 1/5/2022	156
Tom	9:47 1/5/2022	135
Mike	9:48 1/5/2022	155
vish_demo	9:48 1/5/2022	186
Mike	10:5 1/6/2022	143
Jim	10:5 1/6/2022	99
Tom	10:5 1/6/2022	118
Mike	10:42 1/0/2022	133
Jim	10:42 1/0/2022	142
TomH	10:43 1/0/2022	162
Lana	10:43 1/0/2022	123
Jim	12:50 1/0/2022	127
Tom	12:50 1/0/2022	120
vish	12:50 1/0/2022	146
vish_demo	12:51 1/0/2022	127
Mike	10:23 1/3/2022	111
Tom	10:23 1/3/2022	165
Jim	10:23 1/3/2022	145
vish_demo	10:23 1/3/2022	146
Mike	10:30 1/3/2022	121
Jim	10:30 1/3/2022	124
TomH	10:30 1/3/2022	132
Tom	10:30 1/3/2022	146
Lana	10:30 1/3/2022	111
Mike	9:48 1/4/2022	127
Jim	9:48 1/4/2022	83
Tom	9:48 1/4/2022	151
Jim	10:52 1/4/2022	97
Lana	10:52 1/4/2022	140
Mike	9:24 1/5/2022	154
Jim	9:24 1/5/2022	135
Tom	9:24 1/5/2022	132
Jim	9:24 1/5/2022	152
Tom	9:24 1/5/2022	180
Lana	9:24 1/5/2022	122
Tom	9:24 1/5/2022	141
Lana	9:25 1/5/2022	119
TomH	9:25 1/5/2022	152
TomH	9:27 1/5/2022	114
vish	9:27 1/5/2022	179
vish_demo	9:27 1/5/2022	83
Mike	12:30 1/5/2022	110
Jim	12:30 1/5/2022	158
Tom	12:30 1/5/2022	120
Mike	11:19 1/6/2022	129
Mike	11:29 1/6/2022	109
Mike	10:25 1/4/2022	163
Jim	10:25 1/4/2022	111
Tom	10:25 1/4/2022	136
Lana	10:25 1/4/2022	119
vish	10:25 1/4/2022	154
vish_demo	10:25 1/4/2022	125
Mike	10:39 1/4/2022	113
Jim	10:39 1/4/2022	128
Lana	10:39 1/4/2022	206
Tom	10:39 1/4/2022	145
vish	10:40 1/4/2022	119
vish_demo	10:40 1/4/2022	119
Lana	10:40 1/4/2022	122
TomH	10:40 1/4/2022	116
vihal	10:40 1/4/2022	113
Mike	9:51 2/2/2022	115
Jim	9:52 2/2/2022	118
Jim	9:55 2/2/2022	130
Tom	9:55 2/2/2022	133
Mike	10:8 2/2/2022	101
Jim	10:8 2/2/2022	138
Tom	10:8 2/2/2022	116
Lana	10:8 2/2/2022	171
